first_name,last_name,gender,department,email
Harry,Potter,M,Gryffindor,harry.p@howard.edu
Hermione,Granger,F,Gryffindor,hermione.granger@hogwarts.edu
Ron,Weasley,M,Gryffindor,ron.weasley@hogwarts.edu
Draco,Malfoy,M,Slytherin,draco.malfoy@hogwarts.edu
Ginny,Weasley,F,Gryffindor,ginny.weasley@hogwarts.edu
Luna,Lovegood,F,Ravenclaw,luna.lovegood@hogwarts.edu
Neville,Longbottom,M,Gryffindor,neville.longbottom@hogwarts.edu
Remus,Lupin,M,Gryffindor,remus.lupin@hogwarts.edu
Sirius,Black,M,Gryffindor,sirius.black@hogwarts.edu
Fred,Weasley,M,Gryffindor,fred.weasley@hogwarts.edu
George,Weasley,M,Gryffindor,george.weasley@hogwarts.edu
Cedric,Diggory,M,Hufflepuff,cedric.diggory@hogwarts.edu
Cho,Chang,F,Ravenclaw,cho.chang@hogwarts.edu
Severus,Snapes,M,Slytherin,severus.snape@hogwarts.edu
Dumbledore,Albus,M,Gryffindor,albus.dumbledore@hogwarts.edu
McGonagall,Minerva,F,Gryffindor,minerva.mcgonagall@hogwarts.edu
Sprout,Pomona,F,Hufflepuff,pomona.sprout@hogwarts.edu
Tonks,Nymphadora,F,Hufflepuff,nymphadora.tonks@hogwarts.edu
Kingsley,Shacklebolt,M,Gryffindor,kingsley.shacklebolt@hogwarts.edu
Bellatrix,Lestrange,F,Slytherin,bellatrix.lestrange@hogwarts.edu
Aurora,Sinistra,F,Ravenclaw,aurora.sinistra@hogwarts.edu
Percy,Weasley,M,Gryffindor,percy.weasley@hogwarts.edu
Penelope,Clearwater,F,Ravenclaw,penelope.clearwater@hogwarts.edu
Padma,Patil,F,Ravenclaw,padma.patil@hogwarts.edu
Parvati,Patil,F,Ravenclaw,parvati.patil@hogwarts.edu
Lee,Jordan,M,Gryffindor,lee.jordan@hogwarts.edu
Anthony,Goldstein,M,Ravenclaw,anthony.goldstein@hogwarts.edu
Michael,Cornwall,M,Gryffindor,michael.cornwall@hogwarts.edu
Terry,Boot,M,Hufflepuff,terry.boot@hogwarts.edu
Roger,Davies,M,Gryffindor,roger.davies@hogwarts.edu
Susan,Bones,F,Hufflepuff,susan.bones@hogwarts.edu
Justin,Finch-Fletchley,M,Hufflepuff,justin.finch-fletchley@hogwarts.edu
Hannah,Abbott,F,Hufflepuff,hannah.abbott@hogwarts.edu
Ernie,Macmillan,M,Hufflepuff,ernie.macmillan@hogwarts.edu
Millicent,Bulstrode,F,Slytherin,millicent.bulstrode@hogwarts.edu
Pansy,Parkeinson,F,Slytherin,pansy.parkeinson@hogwarts.edu
Blaise,Zabini,M,Slytherin,blaise.zabini@hogwarts.edu
Theodore,Nott,M,Slytherin,theodore.nott@hogwarts.edu
Marcus,Flint,M,Slytherin,marcus.flint@hogwarts.edu
Daphne,Greengrass,F,Slytherin,daphne.greengrass@hogwarts.edu
Astoria,Greengrass,F,Slytherin,astoria.greengrass@hogwarts.edu
Narcissa,Malfoy,F,Slytherin,narcissa.malfoy@hogwarts.edu
Lucius,Malfoy,M,Slytherin,lucius.malfoy@hogwarts.edu
Regulus,Black,M,Slytherin,regulus.black@hogwarts.edu
Barty,Crouch,M,Slytherin,barty.crouch@hogwarts.edu
Rita,Skeeter,F,Gryffindor,rita.skeeter@hogwarts.edu
Bertha,Jorkins,F,Gryffindor,bertha.jorkins@hogwarts.edu
Madam,Hooch,F,Gryffindor,madam.hooch@hogwarts.edu
Rubeus,Hagrid,M,Gryffindor,rubeus.hagrid@hogwarts.edu
Argus,Filch,M,Gryffindor,argus.filch@hogwarts.edu
Minerva,McGonagall,F,Gryffindor,minerva.mcgonagall@hogwarts.edu
Albus,Dumbledore,M,Gryffindor,albus.dumbledore@hogwarts.edu
Pomona,Sprout,F,Gryffindor,pomona.sprout@hogwarts.edu
Poppy,Pomfrey,F,Gryffindor,poppy.pomfrey@hogwarts.edu
Severus,Snapes,M,Gryffindor,severus.snape@hogwarts.edu
Dolores,Umbridge,F,Gryffindor,dolores.umbridge@hogwarts.edu
Cornelius,Fudge,M,Gryffindor,cornelius.fudge@hogwarts.edu
Kingsley,Shacklebolt,M,Gryffindor,kingsley.shacklebolt@hogwarts.edu
Nymphadora,Tonks,F,Gryffindor,nymphadora.tonks@hogwarts.edu
Lily,Evans,F,Gryffindor,lily.evans@hogwarts.edu
James,Potter,M,Gryffindor,james.potter@hogwarts.edu
Alice,Longbottom,F,Gryffindor,alice.longbottom@hogwarts.edu
Frank,Longbottom,M,Gryffindor,frank.longbottom@hogwarts.edu
Neville,Longbottom,M,Gryffindor,neville.longbottom@hogwarts.edu
Caradoc,Birch,M,Gryffindor,caradoc.birch@hogwarts.edu
Benjy,Fenwick,M,Gryffindor,benjy.fenwick@hogwarts.edu
Dorcas,Wellington,F,Gryffindor,dorcas.wellington@hogwarts.edu
Marlene,McKinnon,F,Gryffindor,marlene.mckinnon@hogwarts.edu
Emmeline,Vance,F,Gryffindor,emmeline.vance@hogwarts.edu
Sturgis,Podemere,M,Gryffindor,sturgis.podemere@hogwarts.edu
Dorcas,McDowell,F,Gryffindor,dorcas.mcdowell@hogwarts.edu
Elphias,Dogge,M,Gryffindor,elphias.dogge@hogwarts.edu
Gideon,Prewett,M,Gryffindor,gideon.prewett@hogwarts.edu
Fabian,Prewett,M,Gryffindor,fabian.prewett@hogwarts.edu
Mundungus,Fletcher,M,Gryffindor,mundungus.fletcher@hogwarts.edu
Arcturus,Black,M,Gryffindor,arcturus.black@hogwarts.edu
Lysandra,Scamander,F,Gryffindor,lysandra.scamander@hogwarts.edu
Rolf,Scamander,M,Gryffindor,rolf.scamander@hogwarts.edu
Eglantine,Scamander,F,Gryffindor,eglatine.scamander@hogwarts.edu
Orion,Black,M,Gryffindor,orion.black@hogwarts.edu
Walburga,Black,F,Gryffindor,walburga.black@hogwarts.edu
Septimus,Weasley,M,Gryffindor,septimus.weasley@hogwarts.edu
Cedric,Diggory,M,Gryffindor,cedric.diggory@hogwarts.edu
Amos,Diggory,M,Gryffindor,amos.diggory@hogwarts.edu
Carolyn,Diggory,F,Gryffindor,carolyn.diggory@hogwarts.edu
Barty,Crouch,M,Gryffindor,barty.crouch@hogwarts.edu
Madam,Bonham,F,Gryffindor,madam.bonham@hogwarts.edu
Madam,Maxime,F,Gryffindor,madam.maxime@hogwarts.edu
Olympe,Maxime,F,Gryffindor,olympe.maxime@hogwarts.edu
Rubeus,Hagrid,M,Gryffindor,rubeus.hagrid@hogwarts.edu
Grawp,Hagrid,M,Gryffindor,grawp.hagrid@hogwarts.edu
Charlie,Weasley,M,Gryffindor,charlie.weasley@hogwarts.edu
Bill,Weasley,M,Gryffindor,bill.weasley@hogwarts.edu
Percy,Weasley,M,Gryffindor,percy.weasley@hogwarts.edu
Fred,Weasley,M,Gryffindor,fred.weasley@hogwarts.edu
George,Weasley,M,Gryffindor,george.weasley@hogwarts.edu
Ginny,Weasley,F,Gryffindor,ginny.weasley@hogwarts.edu
Luna,Lovegood,F,Gryffindor,luna.lovegood@hogwarts.edu
Neville,Longbottom,M,Gryffindor,neville.longbottom@hogwarts.edu
Harry,Potter,M,Gryffindor,harry.potter@hogwarts.edu
Hermione,Granger,F,Gryffindor,hermione.granger@hogwarts.edu
Ron,Weasley,M,Gryffindor,ron.weasley@hogwarts.edu
Draco,Malfoy,M,Gryffindor,draco.malfoy@hogwarts.edu
Ginny,Weasley,F,Gryffindor,ginny.weasley@hogwarts.edu
Luna,Lovegood,F,Gryffindor,luna.lovegood@hogwarts.edu
Neville,Longbottom,M,Gryffindor,neville.longbottom@hogwarts.edu
Remus,Lupin,M,Gryffindor,remus.lupin@hogwarts.edu
Sirius,Black,M,Gryffindor,sirius.black@hogwarts.edu
Fred,Weasley,M,Gryffindor,fred.weasley@hogwarts.edu
George,Weasley,M,Gryffindor,george.weasley@hogwarts.edu
Cedric,Diggory,M,Gryffindor,cedric.diggory@hogwarts.edu
Cho,Chang,F,Gryffindor,cho.chang@hogwarts.edu
Severus,Snapes,M,Gryffindor,severus.snape@hogwarts.edu
Dumbledore,Albus,M,Gryffindor,albus.dumbledore@hogwarts.edu
McGonagall,Minerva,F,Gryffindor,minerva.mcgonagall@hogwarts.edu
Sprout,Pomona,F,Gryffindor,pomona.sprout@hogwarts.edu
Tonks,Nymphadora,F,Gryffindor,nymphadora.tonks@hogwarts.edu
Kingsley,Shacklebolt,M,Gryffindor,kingsley.shacklebolt@hogwarts.edu
Bellatrix,Lestrange,F,Gryffindor,bellatrix.lestrange@hogwarts.edu
Aurora,Sinistra,F,Gryffindor,aurora.sinistra@hogwarts.edu
Percy,Weasley,M,Gryffindor,percy.weasley@hogwarts.edu
Penelope,Clearwater,F,Gryffindor,penelope.clearwater@hogwarts.edu
Padma,Patil,F,Gryffindor,padma.patil@hogwarts.edu
Parvati,Patil,F,Gryffindor,parvati.patil@hogwarts.edu
Lee,Jordan,M,Gryffindor,lee.jordan@hogwarts.edu
Anthony,Goldstein,M,Gryffindor,anthony.goldstein@hogwarts.edu
Michael,Cornwall,M,Gryffindor,michael.cornwall@hogwarts.edu
Terry,Boot,M,Gryffindor,terry.boot@hogwarts.edu
Roger,Davies,M,Gryffindor,roger.davies@hogwarts.edu
Susan,Bones,F,Gryffindor,susan.bones@hogwarts.edu
Justin,Finch-Fletchley,M,Gryffindor,justin.finch-fletchley@hogwarts.edu
Hannah,Abbott,F,Gryffindor,hannah.abbott@hogwarts.edu
Ernie,Macmillan,M,Gryffindor,ernie.macmillan@hogwarts.edu
Millicent,Bulstrode,F,Gryffindor,millicent.bulstrode@hogwarts.edu
Pansy,Parkeinson,F,Gryffindor,pansy.parkeinson@hogwarts.edu
Blaise,Zabini,M,Gryffindor,blaise.zabini@hogwarts.edu
Theodore,Nott,M,Gryffindor,theodore.nott@hogwarts.edu
Marcus,Flint,M,Gryffindor,marcus.flint@hogwarts.edu
Daphne,Greengrass,F,Gryffindor,daphne.greengrass@hogwarts.edu
Astoria,Greengrass,F,Gryffindor,astoria.greengrass@hogwarts.edu
Narcissa,Malfoy,F,Gryffindor,narcissa.malfoy@hogwarts.edu
Lucius,Malfoy,M,Gryffindor,lucius.malfoy@hogwarts.edu
Regulus,Black,M,Gryffindor,regulus.black@hogwarts.edu
Barty,Crouch,M,Gryffindor,barty.crouch@hogwarts.edu
Rita,Skeeter,F,Gryffindor,rita.skeeter@hogwarts.edu
Bertha,Jorkins,F,Gryffindor,bertha.jorkins@hogwarts.edu
Madam,Hooch,F,Gryffindor,madam.hooch@hogwarts.edu
Rubeus,Hagrid,M,Gryffindor,rubeus.hagrid@hogwarts.edu
Argus,Filch,M,Gryffindor,argus.filch@hogwarts.edu
Minerva,McGonagall,F,Gryffindor,minerva.mcgonagall@hogwarts.edu
Albus,Dumbledore,M,Gryffindor,albus.dumbledore@hogwarts.edu
